Date,Visitor,PTS,Home,PTS
2021-11-10,MIA,117,LAL,120
2021-11-11,TOR,115,PHI,109
2021-11-11,IND,111,UTA,100
2021-11-11,MIA,109,LAC,112
2021-11-12,NYK,96,CHA,104
2021-11-12,MIL,113,BOS,122
2021-11-12,DET,78,CLE,98
2021-11-12,POR,104,HOU,92
2021-11-12,PHX,119,MEM,94
2021-11-12,BKN,120,NOP,112
2021-11-12,SAC,103,OKC,105
2021-11-12,DAL,123,SAS,109
2021-11-12,ATL,96,DEN,105
2021-11-12,CHI,93,GSW,119
2021-11-12,MIN,107,LAL,83
2021-11-13,MIA,111,UTA,105
2021-11-13,PHI,113,IND,118
2021-11-13,MEM,101,NOP,112
2021-11-13,WAS,104,ORL,92
2021-11-13,DET,127,TOR,121
2021-11-13,BOS,89,CLE,91
2021-11-13,MIN,102,LAC,129
2021-11-14,SAS,106,LAL,114
2021-11-14,MIL,100,ATL,120
2021-11-14,GSW,102,CHA,106
2021-11-14,PHX,115,HOU,89
2021-11-14,BKN,120,OKC,96
2021-11-14,POR,95,DEN,124
2021-11-14,CHI,100,LAC,90
2021-11-15,BOS,98,CLE,92
2021-11-15,SAC,129,DET,107
2021-11-15,NOP,100,WAS,105
2021-11-15,ORL,111,ATL,129
2021-11-15,IND,84,NYK,92
2021-11-15,DEN,101,DAL,111
2021-11-15,HOU,102,MEM,136
2021-11-15,PHX,99,MIN,96
2021-11-15,MIA,103,OKC,90
2021-11-15,TOR,113,POR,118
2021-11-15,CHI,121,LAL,103
2021-11-16,GSW,117,BKN,99
2021-11-16,PHI,85,UTA,120
2021-11-16,SAS,92,LAC,106
2021-11-17,WAS,87,CHA,97
2021-11-17,IND,89,DET,97
2021-11-17,BOS,99,ATL,110
2021-11-17,CLE,99,BKN,109
2021-11-17,NOP,98,MIA,113
2021-11-17,LAL,102,MIL,109
2021-11-17,ORL,104,NYK,98
2021-11-17,SAC,97,MIN,107
2021-11-17,HOU,89,OKC,101
2021-11-17,DAL,98,PHX,105
2021-11-17,CHI,107,POR,112
2021-11-18,GSW,104,CLE,89
2021-11-18,WAS,97,MIA,112
2021-11-18,LAC,108,MEM,120
2021-11-18,SAS,90,MIN,115
2021-11-18,PHI,103,DEN,89
2021-11-18,TOR,103,UTA,119
2021-11-19,IND,118,CHA,121
2021-11-19,GSW,105,DET,102
2021-11-19,LAL,108,BOS,130
2021-11-19,ORL,113,BKN,115
2021-11-19,OKC,89,MIL,96
2021-11-19,LAC,81,NOP,94
2021-11-19,CHI,114,DEN,108
2021-11-19,DAL,104,PHX,112
2021-11-19,TOR,108,SAC,89
2021-11-20,HOU,99,NYK,106
2021-11-20,NOP,94,IND,111
2021-11-20,MIA,100,WAS,103
2021-11-20,CHA,105,ATL,115
2021-11-20,OKC,105,BOS,111
2021-11-20,ORL,108,MIL,117
2021-11-20,MEM,95,MIN,138
2021-11-20,PHI,111,POR,118
2021-11-20,UTA,123,SAC,105
2021-11-21,DAL,91,LAC,97
2021-11-21,LAL,121,DET,116
2021-11-21,NYK,103,CHI,109
2021-11-21,DEN,97,PHX,126
2021-11-21,TOR,104,GSW,119
2021-11-22,BKN,117,CLE,112
2021-11-22,CHA,109,WAS,103
2021-11-22,OKC,101,ATL,113
2021-11-22,HOU,90,BOS,108
2021-11-22,IND,109,CHI,77
2021-11-22,ORL,92,MIL,123
2021-11-22,MIN,110,NOP,96
2021-11-22,PHX,115,SAS,111
2021-11-22,MEM,119,UTA,118
2021-11-22,PHI,102,SAC,94
2021-11-23,MIA,100,DET,92
2021-11-23,LAL,100,NYK,106
2021-11-23,DEN,100,POR,119
2021-11-23,DAL,112,LAC,104
2021-11-24,PHX,120,CLE,115
2021-11-24,LAL,124,IND,116
2021-11-24,CHA,106,ORL,99
2021-11-24,BKN,123,BOS,104
2021-11-24,CHI,113,HOU,118
2021-11-24,TOR,126,MEM,113
